Aufzug,"der Aufzug, ¨-e (D, A) ? Lift",Im Büro ist leider der Aufzug kaputt.,,,,,
Auge,"das Auge, -n",Meine beiden Kinder haben blaue Augen.,,,,,
Augenblick,"der Augenblick, -e",Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.,"Einen Augenblick, bitte!",Im Augenblick sind keine Plätze frei.,,,
Ausbildung,"die Ausbildung, -en",Ich habe meine Ausbildung abgeschlossen.,Mit deiner guten Ausbildung findest du sicher eine Arbeit.,,,,
Ausdruck,"der Ausdruck, ¨-e",1. Diesen Ausdruck habe ich noch nie gehört.,,,,,
Ausdruck,"der Ausdruck, -e",2. Machen Sie doch bitte einen Ausdruck von der E-Mail.,,,,,
Ausfahrt,"die Ausfahrt, -en","Hier ist eine Ausfahrt, da dürfen Sie nicht parken.",Wie weit ist es noch bis zur Ausfahrt Freiburg?,,,,
Ausflug,"der Ausflug, ¨-e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,,,,,
Ausgabe,"die Ausgabe, -n",Wie hoch sind Ihre Ausgaben in einem Monat?,Wo ist die Essensausgabe?,In welchem Buch hast du das gelesen? In welcher Ausgabe?,,,
Ausgang,"der Ausgang, ¨-e",Wo ist der Ausgang bitte?,,,,,
Aushilfe,"die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.,,,,,
Auskunft,"die Auskunft, ¨-e",Ich hätte gern eine Auskunft.,"Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.",,,,
Ausland,das Ausland,Wir fahren im Urlaub meistens ins Ausland.,,,,,
"Ausländer, Ausländerin","der Ausländer, - die Ausländerin, -nen",Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.,,,,,
Ausnahme,"die Ausnahme, -n",Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,,,,,
Aussicht,"die Aussicht, -en",Von diesem Turm hat man eine tolle Aussicht.,Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.,,,,
Aussprache,die Aussprache,Ali hat eine gute Aussprache.,,,,,
Ausstellung,"die Ausstellung, -en",Wir waren mit der Lehrerin in einer Ausstellung.,Die Ausstellung eines neuen Passes dauert zwei Wochen.,,,,
Auswahl,"die Auswahl, -en",Wir müssen eine Auswahl aus den Büchern treffen.,Das Geschäft hat eine große Auswahl.,,,,
Ausweis,"der Ausweis, -e",Darf ich mal Ihren Ausweis sehen?,,,,,
Auto,"das Auto, -s",Mario fährt mit dem Auto zur Arbeit.,,,,,
Autobahn,"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.,,,,,
Automat,"der Automat, -en",Zigaretten bekommst du am Automaten.,Der Fahrkartenautomat ist auf dem Bahnsteig.,,,,
"Autor, Autorin","der Autor, -en die Autorin, -nen",Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,,,,,
Bäckerei,"die Bäckerei, -en",Wir kaufen unser Brot immer in der Bäckerei am Markt.,,,,,
Bad,"das Bad, ¨-er",Nach einem warmen Bad fühlt man sich gleich viel besser.,Ich möchte ein Zimmer mit Bad.,,,,
Badewanne,"die Badewanne, -n",Nach einem langen Arbeitstag setzte sie sich in die Badewanne.,,,,,
Bahn,"die Bahn, -en",Ich komme mit der Bahn.,,,,,
Straßenbahn,"die Straßenbahn, -en",Nehmen Sie die Straßenbahn Nr. 16.,,,,,
U-Bahn,"die U-Bahn, -en",Die letzte U-Bahn geht um 23.15 Uhr.,,,,,
Bahnhof,"der Bahnhof, ¨-e",Ich bringe Sie zum Bahnhof.,,,,,
Bahnsteig,"der Bahnsteig, -e (D, A) ? CH: Perron",Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,,,,,
Balkon,"der Balkon, -e",Die Wohnung hat auch einen kleinen Balkon.,,,,,
Ball,"der Ball, ¨-e",Ich spiele gern mit meinen Kindern Ball.,,,,,
Ballett,"das Ballett, -e",Meine Tochter möchte gern Ballett tanzen.,,,,,
Banane,"die Banane, -n","1 Kilo Bananen, bitte.",,,,,
Bank,"die Bank, ¨-e","Kommt, wir setzen uns auf die Bank da vorne.",,,,,
Bank,"die Bank, -en",Bei welcher Bank haben Sie Ihr Konto?,,,,,
Bancomat/Bankomat,"der Bancomat/Bankomat, -en (A, CH) ? D: Geldautomat",Ich hole noch schnell Geld vom Bankomaten.,,,,,
Bankleitzahl,"die Bankleitzahl, -en",Bitte geben Sie Ihre Bankleitzahl an.,,,,,
Bankomat-Karte,"die Bankomat-Karte, -n (A) ? ec-Karte/EC-Karte",Sie können auch mit Bankomat-Karte zahlen.,,,,,
Bar,"die Bar, -s",Setzen wir uns doch an die Bar!,Ich treffe meine Freundin in der Hotelbar.,,,,
Bargeld,das Bargeld,Ich habe kein Bargeld mehr.,,,,,
Bart,"der Bart, ¨-e",John trägt jetzt einen Bart.,,,,,
Basketball,"der Basketball, ¨-e",Sie spielt sehr gern Basketball.,Er hat zum Geburtstag einen neuen Basketball bekommen.,,,,
Batterie,"die Batterie, -n",Bringst du bitte Batterien für die Kamera mit?,,,,,
Bauch,"der Bauch, ¨-e",Mir tut der Bauch weh.,,,,,
Bau,"der Bau, Bauten",Ich wohne in einer Neubauwohnung.,Unser Haus ist ein Altbau.,,,,
Baustelle,"die Baustelle, -n",Wir müssen die Baustelle umfahren.,,,,,
Bauer,"der Bauer, -n",Wir kaufen unser Gemüse beim Bauern.,,,,,
Baum,"der Baum, ¨-e",Wir haben zwei Bäume im Garten.,,,,,
"Beamte, Beamtin","der Beamte, -n die Beamtin, -nen",Meine Frau ist Beamtin bei der Polizei.,,,,,
Bedarf,der Bedarf,An diesem Produkt besteht großer Bedarf.,,,,,
Bedeutung,"die Bedeutung, -en",Das Wort „Maus“ hat inzwischen zwei Bedeutungen.,,,,,
Bedienungsanleitung,"die Bedienungsanleitung, -en",Die Bedienungsanleitung verstehe ich nicht.,,,,,
Bedingung,"die Bedingung, -en","Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.",Wir haben in unserem Betrieb sehr gute Arbeitsbedingungen.,,,,
Beginn,der Beginn,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.,,,,,
Begründung,"die Begründung, -en",Die Miete wurde ohne Begründung erhöht.,,,,,
Behörde,"die Behörde, -n",Sie erhalten ein Schreiben von der zuständigen Behörde.,,,,,
Bein,"das Bein, -e",Andreas hat sich das Bein gebrochen.,,,,,
Beispiel,"das Beispiel, -e",Können Sie mir ein Beispiel sagen?,"Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen.","Hier gibt’s so viele Sachen: beispielsweise Wurst, Obst, Brot …",,,
Beitrag,"der Beitrag, ¨-e",Die Krankenkasse hat die Beiträge erhöht.,Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.,,,,
Bekannte,"der Bekannte, -n die Bekannte, -n",In Hannover wohnen Bekannte von mir.,,,,,
Beleg,"der Beleg, -e",Brauchen Sie einen Beleg?,,,,,
Benzin,das Benzin,Das Benzin soll wieder teurer werden.,,,,,
Beratung,die Beratung,Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.,,,,,
Bereich,"der Bereich, -e",In welchem Bereich möchten Sie arbeiten?,Umfahren Sie den Baustellenbereich.,,,,
Berg,"der Berg, -e",Die Zugspitze ist der höchste Berg in Deutschland.,Wir fahren jeden Sonntag in die Berge.,Auf dem Berg haben wir ein Picknick gemacht.,,,
Bericht,"der Bericht, -e",Ich habe gestern einen interessanten Bericht gelesen.,,,,,
Beruf,"der Beruf, -e",Was sind Sie von Beruf?,,,,,
Beschäftigung,die Beschäftigung,"Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.",,,,,
Bescheid,"der Bescheid, -e",Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,,,,,
Beschreibung,"die Beschreibung, -en",Eine Beschreibung des Geräts liegt bei.,,,,,
Besprechung,"die Besprechung, -en","Tut mir leid, Herr Schmidt ist noch in einer Besprechung.",,,,,
Besserung,die Besserung,Gute Besserung!,,,,,
Bestätigung,"die Bestätigung, -en",Ich brauche eine schriftliche Bestätigung für das Amt.,,,,,
Besuch,"der Besuch, -e",Wir bekommen Besuch.,Ich mache einen Besuch im Krankenhaus.,Ich bin hier nur zu Besuch.,,,
Betrag,"der Betrag, ¨-e",Bitte überweisen Sie den Betrag auf unser Konto.,,,,,
"Betreuer, Betreuerin","der Betreuer, - die Betreuerin, -nen",Die Betreuerin der Kinder ist sehr nett.,,,,,
Betreuung,die Betreuung,Haben Sie eine Betreuung für Ihre Kinder?,,,,,
Betrieb,"der Betrieb, -e",In diesem Betrieb arbeiten zehn Leute.,Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb.,Der Aufzug ist in Betrieb/außer Betrieb.,,,
"Betriebsrat, Betriebsrätin","der Betriebsrat, ¨-e die Betriebsrätin, -nen",Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.,,,,,
Bett,"das Bett, -en",Wir wollten uns neue Betten kaufen.,"Solange Sie Fieber haben, müssen Sie im Bett bleiben.",,,,
Bevölkerung,die Bevölkerung,11 % der Bevölkerung wurden nicht im Inland geboren.,,,,,
Bewegung,"die Bewegung, -en",Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.,,,,,
Beweis,"der Beweis, -e",Haben Sie dafür Beweise?,,,,,
Bewerbung,"die Bewerbung, -en",Wohin soll ich meine Bewerbung schicken?,Hilfst du mir bei meiner Bewerbung?,,,,
"Bewohner, Bewohnerin","der Bewohner, - die Bewohnerin, -nen",Ich kenne die anderen Hausbewohner nicht.,,,,,
Beziehung,"die Beziehung, -en",Wir haben gute Beziehungen zu unseren Nachbarn.,,,,,
Bibliothek,"die Bibliothek, -en",Die Stadtbibliothek hat bereits geschlossen.,,,,,
Bier,das Bier,"Ein Bier, bitte!",,,,,
Bild,"das Bild, -er",Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,,,,,
Bildschirm,"der Bildschirm, -e",Ich brauche einen größeren Bildschirm für meinen Computer.,Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.,,,,
Billett,"das Billett, -e/-s ? D, A: Fahrkarte",Ein Billett können Sie am Schalter kaufen.,,,,,
Biologie,die Biologie,Meine Freundin studiert Biologie.,,,,,
Birne,"die Birne, -n",Möchten Sie Obst? Die Birnen sind heute besonders schön.,,,,,
Bitte,"die Bitte, -n",Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,,,,,
Blatt,"das Blatt, ¨-er",Die Bäume bekommen schon gelbe Blätter.,Haben Sie ein Blatt Papier für mich?,,,,
Bleistift,"der Bleistift, -e",Hast du einen Bleistift für mich?,,,,,
Blick,"der Blick, -e",Von hier hat man einen tollen Blick über die Stadt.,,,,,
Blitz,"der Blitz, -e","Was für ein Gewitter, hast du den Blitz gesehen?",Hast du das Foto mit Blitz gemacht?,,,,
Blume,"die Blume, -n",Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.,,,,,
Bluse,"die Bluse, -n",Ich hätte gerne eine weiße Bluse.,,,,,
Blut,das Blut,Der Verletzte hat viel Blut verloren.,,,,,
Boden,"der Boden, ¨-",Die Bücher lagen alle auf dem Boden.,Auf diesem Boden wächst Gemüse besonders gut.,,,,
Bogen,"der Bogen, -/¨-",Bitte schreiben Sie Ihren Namen auf den Antwortbogen.,,,,,
Bohne,"die Bohne, -n",Ich esse gern Bohnen.,,,,,
Boot,"das Boot, -e",An diesem See kann man Boote mieten.,,,,,
Botschaft,"die Botschaft, -en",Das Visum habe ich von der Botschaft bekommen.,,,,,
Braten,"der Braten, -",Nehmen Sie noch etwas Soße zum Braten?,,,,,
Breite,"die Breite, -n","Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.",,,,,
Bremse,"die Bremse, -n",Du musst unbedingt die Bremsen kontrollieren lassen.,,,,,
Brief,"der Brief, -e",Ich schreibe nicht gern Briefe.,,,,,
Briefkasten,"der Briefkasten, ¨-",Ist hier in der Nähe ein Briefkasten?,Hol bitte mal die Zeitung aus dem Briefkasten.,,,,
Briefmarke,"die Briefmarke, -n",Briefmarken bekommen Sie am Schalter 7.,,,,,
Briefträger,"der Briefträger, ? CH:die Briefträgerin,-nen Pöstler",War die Briefträgerin schon da?,,,,,
Briefumschlag,"der Briefumschlag, ¨-e ? A: Kuvert; CH: Couvert",Ich hätte gern 50 Briefumschläge und Briefmarken dazu.,,,,,
Brieftasche,"die Brieftasche, -n ? D, CH: Portemonnaie/Portmonee; A: Geldbörse",Ich habe nur Kleingeld in meiner Brieftasche.,,,,,
Brille,"die Brille, -n",Ich brauche eine neue Brille.,,,,,
Broschüre,"die Broschüre, -n",In der Broschüre finden Sie die neuesten Informationen.,,,,,
Brot,"das Brot, -e","Brot kaufe ich immer beim Bäcker, nicht im Supermarkt.",Was möchtest du aufs Brot haben?,Nimm noch ein paar belegte Brote für die Fahrt mit.,,,
Brötchen,"das Brötchen, - (D) ? A: Semmel; CH: Brötli",Ich hole schnell ein paar Brötchen zum Frühstück.,,,,,
Brötli,"das Brötli, - (CH) ? D: Brötchen; A: Semmel",Ich hole schnell ein paar Brötli zum Frühstück.,,,,,
Brücke,"die Brücke, -n",Fahren Sie über die nächste Brücke und dann rechts.,,,,,
Bruder,"der Bruder, ¨-",Mein jüngster Bruder geht noch zur Schule.,,,,,
Brust,die Brust,Ich habe Schmerzen in der Brust.,,,,,
Bub,"der Bub, -en (A, CH) ? D: Junge",In der Schulklasse sind 15 Buben und 10 Mädchen.,,,,,
Buch,"das Buch, ¨-er",Haben Sie ein Buch über die Geschichte von Berlin?,,,,,
Buchhandlung,"die Buchhandlung, -en",In der Buchhandlung in der Stadt haben sie das Buch sicher.,,,,,
Buchstabe,"der Buchstabe, -n",Gibt es diesen Buchstaben auch in deiner Muttersprache?,Ihr Name beginnt mit K. – Buchstabe K ist in Zimmer 3. Bitte warten Sie dort.,,,,
Büchse,"die Büchse, -n (D, CH) ? A: Dose",Ich habe noch eine Büchse Bohnen.,,,,,
Buffet,"das Buffet, -s",Das Buffet ist eröffnet!,,,,,
Bühne,"die Bühne, -n",Er steht gern auf der Bühne.,,,,,
Burg,"die Burg, -en",Von der Burg hat man eine schöne Aussicht.,,,,,
"Bürger, Bürgerin","der Bürger, - die Bürgerin, -nen",EU-Bürgerinnen und Bürger können überall in Europa arbeiten.,,,,,
Büro,"das Büro, -s",Unser Büro bleibt samstags geschlossen.,Ich möchte in einem Büro arbeiten.,,,,
Bürste,"die Bürste, -n",Hast du eine Bürste? Meine Schuhe sind so schmutzig.,Ich brauche eine Bürste für meine Haare.,,,,
Zahnbürste,"die Zahnbürste, -n",Ich brauche eine neue Zahnbürste.,,,,,
Bus,"der Bus, -se",Ich fahre meistens mit dem Bus zur Arbeit.,,,,,
Butter,die Butter,Ich möchte nur Butter aufs Brot.,,,,,
Café,"das Café, -s",Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.,,,,,
Cafeteria,"die Cafeteria, -s",Ich hole mir schnell etwas aus der Cafeteria.,,,,,
Chance,"die Chance, -n","Mein Mann hat gute Chancen, die Stelle zu bekommen.",,,,,
"Chef, Chefin","der Chef, -s die Chefin, -nen","Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.",,,,,
"Coiffeur, Coiffeuse","der Coiffeur, -e die Coiffeuse, -n (CH) ? D, A: Friseur",Du siehst toll aus! Wer ist dein Coiffeur?,Meine Tochter will Coiffeuse werden.,,,,
Couch,"die Couch, -s",Wir haben uns eine Couch und neue Sessel gekauft.,,,,,
Creme,"die Creme, -n/-s",Ich hätte gern eine Creme für die Hände.,Für die Creme habe ich Butter und Schokolade genommen.,,,,
"Cousin, Cousine","der Cousin, -s die Cousine, -n",Meine Cousine wohnt jetzt in Brasilien.,,,,,
Couvert,"das Couvert, -s (CH) ? Briefumschlag; A: Kuvert",Ich hätte gern 50 Couverts und Briefmarken dazu.,,,,,
Dach,"das Dach, ¨-er",Wir müssen das Dach reparieren lassen.,Wir wohnen direkt unter dem Dach.,,,,
Dame,"die Dame, -n",Sie ist eine nette alte Dame.,Meine Damen und Herren!,Sehr geehrte Damen und Herren.,,,
Dank,der Dank,Vielen Dank für Ihre Mühe.,Hier ist Ihr Kaffee. – Vielen Dank!,Herzlichen Dank!,Gott sei Dank hat es nicht geregnet.,,
Darstellung,"die Darstellung, -en",Ihr Buch enthält eine klare Darstellung dieser Probleme.,,,,,
Datei,"die Datei, -en",Wo hast du die Datei gespeichert?,,,,,
Datum,"das Datum, die Daten",Welches Datum haben wir heute?,Bitte Datum und Unterschrift nicht vergessen.,Ich brauche noch ein paar Daten von Ihnen.,,,
Daten (Plural),die Daten (Plural),Wir haben alle Ihre Daten im Computer.,,,,,
Dauer,die Dauer,Sie können das Buch für die Dauer einer Woche ausleihen.,Auf Dauer ist die Arbeit nicht interessant.,,,,
Decke,"die Decke, -n",Im Wohnzimmer haben wir keine Lampe an der Decke.,Kann ich noch eine Decke bekommen? Mir ist kalt.,,,,
Gedanke,"der Gedanke, -n",Ich muss zuerst meine Gedanken sammeln.,Dein Hinweis bringt mich auf einen Gedanken.,Der Gedanke an das Unglück macht uns traurig.,"Lass uns einen Ausflug machen, damit du auf andere Gedanken kommst.",Sie ist ganz in Gedanken versunken.,
Denkmal,"das Denkmal, ¨-er",In dieser Stadt gibt es viele berühmte Denkmäler.,,,,,
Dessert,"das Dessert, -s ? D, A: Nachspeise",Nach dem Essen gab es noch ein leckeres Dessert.,,,,,
Detail,"das Detail, -s",Dieses Detail ist unwichtig.,Ich habe alles bis ins kleinste Detail vorbereitet.,,,,
Diät,die Diät,Ich möchte abnehmen. Deshalb mache ich eine Diät.,,,,,
Dialekt,"der Dialekt, -e","Ich verstehe dich besser, wenn du nicht Dialekt sprichst.",,,,,
Dialog,"der Dialog, -e",Sie hören jetzt einen Dialog.,,,,,
Dieb,"der Dieb, -e",Ein Dieb hat mir auf dem Markt die Tasche gestohlen.,,,,,
Dienst,der Dienst,Als Krankenschwester habe ich oft Frühdienst.,Morgen habe ich Dienst. Deshalb kann ich nicht kommen.,,,,
Ding,"das Ding, -e",Gib mir bitte mal das Ding da drüben.,,,,,
Diplom,"das Diplom, -e",Wo kann ich mein Diplom abholen?,,,,,
"Direktor, Direktorin","der Direktor, -en die Direktorin, -nen",Ich möchte gern mit dem Direktor sprechen.,,,,,
Diskothek,"die Diskothek, -en/Disko, -s",Wir gehen heute Abend in die Disko(thek).,,,,,
Diskussion,"die Diskussion, -en",Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“.,,,,,
Distanz,"die Distanz, -en",Diese Firma transportiert Waren auch über große Distanzen.,,,,,
"Doktor, Doktorin","der Doktor, -en die Doktorin, -nen",Ist Frau Dr. Müller da?,Meine Tochter ist krank. Wir gehen zum Doktor.,,,,
