german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
ansehen,"to look at, view","ansehen, sieht an, sah an, hat angesehen",Warum siehst du mich so erschrocken an?,Why are you looking at me so shocked?,Darf ich eure Urlaubsfotos ansehen?,May I see your vacation photos?,,,,,,,,,,
ansprechen,"to speak to, address","ansprechen, spricht an, sprach an, hat angesprochen",Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,"Yesterday, our new neighbor approached me in the stairwell.",,,,,,,,,,,,
anstellen,"to employ, turn on, place","anstellen, stellt an, stellte an, hat angestellt",Können Sie bitte die Heizung anstellen?,Can you please turn on the heating?,Mein Schwager ist bei einer Möbelfirma angestellt.,My brother-in-law is employed by a furniture company.,Da vorne ist die Kasse. Du musst dich anstellen.,There's the cash desk up ahead. You have to get in line.,,,,,,,,
sich anstrengen,to make an effort,"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt",Diese Arbeit strengt mich sehr an.,This work really stresses me out.,"Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.","If you want to pass the exam, you have to work harder.",,,,,,,,,,
anwenden,to apply,"anwenden, wendet an, wandte an, hat angewandt/angewendet",Diese Salbe muss man dreimal am Tag anwenden.,This ointment must be applied three times a day.,,,,,,,,,,,,
antworten,to answer,"antworten, antwortet, antwortete, hat geantwortet (auf)",Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.,Jorge hasn't replied to my letter for three weeks.,,,,,,,,,,,,
anzeigen,"to display, report (to police)","anzeigen, zeigt an, zeigte an, hat angezeigt","Wenn Sie hier parken, zeige ich Sie an.","If you park here, I'll report you.","Ich wünschte, die Parkuhr würde klarer anzeigen, wie viel Zeit noch übrig ist.",I wish the parking meter displayed how much time was left more clearly.,,,,,,,,,,
(sich) anziehen,to get dressed,"(sich) anziehen, zieht an, zog an, hat angezogen","Du musst dich wärmer anziehen, sonst erkältest du dich.","You have to dress warmer, otherwise you'll catch a cold.",Heute ziehe ich mein neues T-Shirt an.,Today I'm putting on my new T-shirt.,,,,,,,,,,
arbeiten,to work,"arbeiten, arbeitet, arbeitete, hat gearbeitet",Er arbeitet heute bis 16 Uhr.,He works until 4 p.m. today.,Arzu arbeitet als Krankenschwester im Krankenhaus.,Arzu works as a nurse at the hospital.,,,,,,,,,,
(sich) ärgern,"to get angry, to annoy","(sich) ärgern, ärgert, ärgerte, hat geärgert",Ärgern Sie sich nicht.,Don't get annoyed.,Mein Bruder hat mich schon als Kind immer geärgert.,My brother used to tease me as a child.,,,,,,,,,,
atmen,to breathe,"atmen, atmet, atmete, hat geatmet",Er hat eine Erkältung und kann nicht durch die Nase atmen.,He has a cold and can't breathe through his nose.,,,,,,,,,,,,
auffallen,to stand out,"auffallen, fällt auf, fiel auf, ist aufgefallen","Mir ist aufgefallen, dass Harriett ganz blass ist.",I noticed that Harriett is very pale.,,,,,,,,,,,,
auffordern,"to ask, prompt","auffordern, fordert auf, forderte auf, hat aufgefordert","Sie forderte mich auf, meine Meinung zu sagen.",She asked me to speak my mind.,Er fordert sie zum Tanz auf.,He asks them to dance.,,,,,,,,,,
aufführen,to perform,"aufführen, führt auf, führte auf, hat aufgeführt",Die Kinder führen zu Weihnachten ein Theaterstück auf.,The children put on a play for Christmas.,,,,,,,,,,,,
aufgeben,to give up,"aufgeben, gibt auf, gab auf, hat aufgegeben",Ich habe auf der Post ein Paket aufgegeben.,I have posted a parcel at the post office.,Man darf nie aufgeben. Es gibt immer eine Hoffnung.,You must never give up. There is always hope.,,,,,,,,,,
aufhalten,"to stay, hold up, stop","aufhalten, hält auf, hielt auf, hat aufgehalten",Wo hält er sich gerade auf? – In München.,Where is he at the moment? - In Munich.,Darf ich Ihnen die Tür aufhalten?,May I hold the door for you?,"Entschuldigen Sie die Verspätung, ich wurde aufgehalten.","Sorry I'm late, I was held up.",,,,,,,,
aufheben,"to lift up, cancel","aufheben, hebt auf, hob auf, hat aufgehoben","Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.","Just leave the papers on the floor, I'll pick them up.",Die Quittung müssen Sie gut aufheben.,You must keep the receipt in a safe place.,,,,,,,,,,
aufhören,to stop,"aufhören, hört auf, hörte auf, hat aufgehört",Es hört nicht auf zu schneien.,It doesn't stop snowing.,Wann hört ihr mit der Arbeit auf?,When will you stop working?,Hier hört die Hauptstraße auf.,This is where the main road ends.,,,,,,,,
aufladen,to charge,"aufladen, lädt auf, lud auf, hat aufgeladen",Ich muss mein Telefon aufladen. Die Batterie ist leer.,I need to charge my phone. The battery is flat.,,,,,,,,,,,,
auflösen,to dissolve,"auflösen, löst auf, löste auf, hat aufgelöst",Die Tablette bitte in Wasser auflösen.,Please dissolve the tablet in water.,,,,,,,,,,,,
aufnehmen,"to record, take in, absorb","aufnehmen, nimmt auf, nahm auf, hat aufgenommen",Wir haben Aneta in unseren Verein aufgenommen.,We have accepted Aneta into our club.,Ich habe den Film im Urlaub aufgenommen.,I recorded the film on vacation.,,,,,,,,,,
aufpassen,"to watch out, take care","aufpassen, passt auf, passte auf, hat aufgepasst",Tut mir leid. Da habe ich wohl nicht aufgepasst.,I'm sorry. I guess I wasn't paying attention.,Ich muss zu Hause bleiben und auf die Kinder aufpassen.,I have to stay at home and look after the children.,,,,,,,,,,
aufräumen,to tidy up,"aufräumen, räumt auf, räumte auf, hat aufgeräumt",Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.,I really need to tidy up my desk before I go on vacation.,,,,,,,,,,,,
aufregen,"to upset, excite","aufregen, regt auf, regte auf, hat aufgeregt","Es regt mich auf, dass ich schon wieder Überstunden machen muss.",It upsets me that I have to work overtime again.,Ganz ruhig! Bitte regen Sie sich nicht auf.,Take it easy! Please don't get upset.,Heute hast du eine Prüfung. Bist du schon aufgeregt?,You have an exam today. Are you excited yet?,Die Musikgruppe zu erleben war sehr aufregend.,Experiencing the music group was very exciting.,,,,,,
aufstehen,to stand up,"aufstehen, steht auf, stand auf, ist aufgestanden",Ich stehe jeden Morgen um sechs Uhr auf.,I get up at six o'clock every morning.,Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.,You don't need to stand up. You can remain seated.,,,,,,,,,,
auftreten,"to occur, appear, perform","auftreten, tritt auf, trat auf, ist aufgetreten",Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.,"Next week, a famous music group will be performing in the Stadthalle.",Schlafstörungen treten meistens bei jungen Kindern auf.,Sleep disturbances occur mainly in young children.,,,,,,,,,,
aufwachen,to wake up,"aufwachen, wacht auf, wachte auf, ist aufgewacht",Von dem Lärm bin ich aufgewacht.,I woke up to the noise.,,,,,,,,,,,,
ausdrucken,to print,"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",Kann ich das auf deinem Drucker ausdrucken?,Can I print this out on your printer?,,,,,,,,,,,,
ausfallen,"to be canceled, fail, fall out","ausfallen, fällt aus, fiel aus, ist ausgefallen",Nächste Woche fällt der Kurs aus.,The course is canceled next week.,Während des Sturms ist die Mobilfunkverbindung ausgefallen.,"During the storm, the mobile phone connection failed.",,,,,,,,,,
ausfüllen,"to fill in/out, complete","ausfüllen, füllt aus, füllte aus, hat ausgefüllt",Füllen Sie bitte dieses Formular aus!,Please fill out this form!,,,,,,,,,,,,
ausgeben,to spend,"ausgeben, gibt aus, gab aus, hat ausgegeben",Carola gibt viel Geld für ihr Hobby aus.,Carola spends a lot of money on her hobby.,,,,,,,,,,,,
ausgehen,to go out,"ausgehen, geht aus, ging aus, ist ausgegangen",Plötzlich ist das Licht ausgegangen.,Suddenly the light has gone out.,Gehen wir heute Abend aus?,Are we going out tonight?,Wie ist das Spiel ausgegangen?,How did the game end?,,,,,,,,
ausmachen,"to turn off, matter, arrange","ausmachen, macht aus, machte aus, hat ausgemacht",Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.,Unfortunately you have to wait. - No problem. I don't mind.,Machen Sie bitte das Licht aus!,Please turn off the light!,"Wir hatten doch ausgemacht, dass du die Getränke besorgst.",We agreed that you would get the drinks.,Haben Sie einen Termin ausgemacht?,Have you made an appointment?,,,,,,
ausreichen,to suffice,"ausreichen, reicht aus, reichte aus, hat ausgereicht",Das Geld muss bis März ausreichen.,The money must be sufficient until March.,Seine Kenntnisse reichen für diese Arbeit aus.,His knowledge is sufficient for this work.,,,,,,,,,,
ausrichten,"to host, align, convey (a message)","ausrichten, richtet aus, richtete aus, hat ausgerichtet",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?,My husband is not here. Should I leave him a message?,Wer richtet die Silvesterparty dieses Jahr aus?,Who is hosting the New Year's Eve party this year?,,,,,,,,,,
(sich) ausruhen,to rest,"(sich) ausruhen, ruht aus, ruhte aus, hat ausgeruht",Sie ruhen sich von der Arbeit aus.,They rest from their work.,Bist du gut ausgeruht?,Are you well rested?,,,,,,,,,,
ausschließen,to exclude,"ausschließen, schließt aus, schloss aus, hat ausgeschlossen",Das kann man nicht ganz ausschließen.,This cannot be completely ruled out.,So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.,I can't pay that much. That's completely out of the question.,,,,,,,,,,
aussehen,to look,"aussehen, sieht aus, sah aus, hat ausgesehen",Sie sehen wieder besser aus. Sind Sie wieder gesund?,You look better again. Are you healthy again?,Er sieht genauso aus wie sein Vater.,He looks just like his father.,"Es sieht so aus, als ob es bald regnen würde.",It looks like it's going to rain soon.,,,,,,,,
aussprechen,to pronounce,"aussprechen, spricht aus, sprach aus, hat ausgesprochen",Wie spricht man dieses Wort aus?,How do you pronounce this word?,,,,,,,,,,,,
ausstellen,"to exhibit, issue","ausstellen, stellt aus, stellte aus, hat ausgestellt",Im Schaufenster sind Winterschuhe ausgestellt.,Winter shoes are on display in the shop window.,Das Zeugnis wird bis nächste Woche ausgestellt.,The certificate will be issued by next week.,,,,,,,,,,
(sich etwas) aussuchen,to choose something,"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht",Such dir etwas Schönes aus! Ich lade dich ein.,Choose something nice! I invite you.,,,,,,,,,,,,
auswählen,to select,"auswählen, wählt aus, wählte aus, hat ausgewählt",Für die Aufgabe können Sie aus drei Themen auswählen.,You can choose from three topics for the task.,,,,,,,,,,,,
ausziehen,"to move out, take off (clothes)","ausziehen, zieht aus, zog aus, hat/ist ausgezogen",Willst du den Mantel nicht ausziehen?,Don't you want to take off your coat?,Müllers sind schon vor vier Wochen ausgezogen.,The Müllers moved out four weeks ago.,,,,,,,,,,
backen,to bake,"backen, bäckt/backt, backte, hat gebacken","Wenn du kommst, backe ich einen Kuchen.","If you come, I'll bake a cake.",,,,,,,,,,,,
baden,"to bathe, swim","baden, badet, badete, hat gebadet",Wenn du baden möchtest: Das Badezimmer ist dort hinten links.,If you want to take a bath: The bathroom is back there on the left.,Hier ist Baden verboten!,Swimming is prohibited here!,,,,,,,,,,
basteln,"to craft, make things with hands","basteln, bastelt, bastelte, hat gebastelt",Die Kinder basteln ein Vogelhaus.,The children make a birdhouse.,Ich arbeite gern mit natürlichen Bastelmaterialien.,I like to work with natural craft materials.,,,,,,,,,,
bauen,to build,"bauen, baut, baute, hat gebaut",Mein Nachbar hat ein Haus gebaut.,My neighbor has built a house.,,,,,,,,,,,,
beachten,"to note, observe","beachten, beachtet, beachtete, hat beachtet",Bitte beachten Sie die Ansagen am Bahnsteig.,Please listen to the announcements on the platform.,,,,,,,,,,,,
beantragen,to apply for,"beantragen, beantragt, beantragte, hat beantragt",Hast du schon einen neuen Pass beantragt?,Have you already applied for a new passport?,,,,,,,,,,,,
beantworten,to answer,"beantworten, beantwortet, beantwortete, hat beantwortet",Sie haben meine Frage leider nicht beantwortet.,"Unfortunately, you have not answered my question.",,,,,,,,,,,,
sich bedanken,to thank,"sich bedanken, bedankt, bedankte, hat bedankt jemandem für",Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.,"Once again, I would like to thank you very much for your help.",,,,,,,,,,,,
bedeuten,to mean,"bedeuten, bedeutet, bedeutete, hat bedeutet",Was bedeutet dieses Wort?,What does this word mean?,"Ich bin krank. Das bedeutet, dass ich heute nicht arbeiten kann.",I am ill. That means I can't work today.,,,,,,,,,,
bedienen,to serve,"bedienen, bedient, bediente, hat bedient",Werden Sie schon bedient?,Are you already being served?,Die Kaffeemaschine ist ganz leicht zu bedienen.,The coffee machine is very easy to operate.,,,,,,,,,,
sich beeilen,to hurry up,"sich beeilen, beeilt sich, beeilte sich, hat sich beeilt",Wir müssen uns beeilen. Sonst verpassen wir den Zug.,We have to hurry. Otherwise we'll miss the train.,,,,,,,,,,,,
beenden,to finish,"beenden, beendet, beendete, hat beendet",Du musst deine Ausbildung auf jeden Fall beenden.,You have to finish your training in any case.,,,,,,,,,,,,
sich befinden,to be located,"sich befinden, befindet sich, befand sich, hat sich befunden",Das Bord-Bistro befindet sich in der Mitte des Zuges.,The on-board bistro is located in the middle of the train.,,,,,,,,,,,,
begegnen,to encounter,"begegnen, begegnet, begegnete, ist begegnet",Sind wir uns nicht schon mal irgendwann begegnet?,Haven't we met before at some point?,,,,,,,,,,,,
beginnen,to start,"beginnen, beginnt, begann, hat begonnen",In zwei Wochen beginnen die Sommerferien.,The summer vacation starts in two weeks.,,,,,,,,,,,,
begleiten,to accompany,"begleiten, begleitet, begleitete, hat begleitet",Ich begleite dich ein Stück.,I'll accompany you for a while.,,,,,,,,,,,,
begründen,to justify,"begründen, begründet, begründete, hat begründet",Bitte begründen Sie Ihre Meinung.,Please give reasons for your opinion.,,,,,,,,,,,,
begrüßen,to welcome,"begrüßen, begrüßt, begrüßte, hat begrüßt",Der Gastgeber begrüßt seine Gäste.,The host welcomes his guests.,,,,,,,,,,,,
behalten,to keep,"behalten, behält, behielt, hat behalten",Darf ich die Zeitschrift behalten?,Can I keep the magazine?,,,,,,,,,,,,
behandeln,to treat,"behandeln, behandelt, behandelte, hat behandelt",Welcher Arzt hat Sie bis jetzt behandelt?,Which doctor has treated you so far?,So lasse ich mich von Ihnen nicht länger behandeln.,I won't let you treat me like this any longer.,,,,,,,,,,
behaupten,to claim,"behaupten, behauptet, behauptete, hat behauptet","Er behauptet, unsere Meinung sei nicht wichtig.",He claims that our opinion is not important.,"Es ist schwer, sich gegen meinen Kollegen zu behaupten.",It's hard to stand up to my colleague.,,,,,,,,,,
behindern,to hinder,"behindern, behindert, behinderte, hat behindert behindert","Bitte parken Sie so, dass Sie niemanden behindern.",Please park in such a way that you do not obstruct anyone.,Seit dem Unfall ist das Kind unserer Freunde behindert.,"Since the accident, our friends' child has been disabled.",,,,,,,,,,
beißen,to bite,"beißen, beißt, biss, hat gebissen","Pass auf, dass dich der Hund nicht beißt!",Make sure the dog doesn't bite you!,,,,,,,,,,,,
bekannt geben,to announce,"bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben",Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.,We will inform you of the examination location in good time.,,,,,,,,,,,,
bekommen,"to get, receive","bekommen, bekommt, bekam, hat bekommen",Haben Sie meinen Brief bekommen?,Did you get my letter?,Ich bekomme jeden Tag eine Spritze.,I get an injection every day.,Was bekommen Sie? – 5 kg Kartoffeln.,What do you get? - 5 kg of potatoes.,Wir haben Besuch bekommen.,We have a visitor.,Laut Wetterbericht bekommen wir Regen.,"According to the weather forecast, we get rain.",Plötzlich bekam ich starke Kopfschmerzen.,Suddenly I got a severe headache.,,
beleidigen,"to insult, offend","beleidigen, beleidigt, beleidigte, hat beleidigt",Ich wollte Sie nicht beleidigen.,I didn't mean to offend you.,Sei doch nicht immer gleich beleidigt.,Don't always be offended.,,,,,,,,,,
bemerken,to notice,"bemerken, bemerkt, bemerkte, hat bemerkt","Ich habe nicht bemerkt, dass das Fenster offen ist.",I didn't notice that the window was open.,,,,,,,,,,,,
sich bemühen,to endeavor,"sich bemühen, bemüht, bemühte, hat bemüht","Er hat sich sehr bemüht, etwas Gutes zu kochen.",He tried very hard to cook something good.,Ich werde mich um einen Termin bemühen.,I will try to make an appointment.,,,,,,,,,,
benötigen,to need,"benötigen, benötigt, benötigte, hat benötigt","Sagen Sie Bescheid, wenn Sie noch etwas benötigen.",Let us know if you need anything else.,,,,,,,,,,,,
benutzen,to use,"benutzen, benutzt, benutzte, hat benutzt",Benutzen Sie bitte die öffentlichen Verkehrsmittel.,Please use public transportation.,,,,,,,,,,,,
beobachten,to observe,"beobachten, beobachtet, beobachtete, hat beobachtet",Wer hat den Unfall beobachtet?,Who witnessed the accident?,,,,,,,,,,,,
beraten,to advise,"beraten, berät, beriet, hat beraten","Unser Personal berät Sie gern, wenn Sie Fragen haben.",Our staff will be happy to advise you if you have any questions.,,,,,,,,,,,,
berechnen,to calculate,"berechnen, berechnet, berechnete, hat berechnet",Die Kosten für die Fahrt müssen erst berechnet werden.,The cost of the journey must first be calculated.,,,,,,,,,,,,
berichten,to report,"berichten, berichtet, berichtete, hat berichtet",Alle Zeitungen haben über den Unfall berichtet.,All the newspapers reported on the accident.,,,,,,,,,,,,
beruhigen,"to calm, reassure","beruhigen, beruhigt, beruhigte, hat beruhigt",Beruhigen Sie sich bitte. Es ist alles in Ordnung.,Please calm down. Everything is fine.,Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.,I can reassure you. Nothing has happened to your son.,,,,,,,,,,
beschädigen,to damage,"beschädigen, beschädigt, beschädigte, hat beschädigt","Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.",Please make a list of what the burglars have damaged.,,,,,,,,,,,,
(sich) beschäftigen,"to employ, occupy oneself","(sich) beschäftigen, beschäftigt, beschäftigte, hat beschäftigt",Womit haben Sie sich bei Ihrer Arbeit beschäftigt?,What did you focus on in your work?,Seit wann sind Sie bei dieser Firma beschäftigt?,How long have you been working for this company?,,,,,,,,,,
beschließen,to decide,"beschließen, beschließt, beschloss, hat beschlossen","Wir haben beschlossen, uns ein kleineres Auto zu kaufen.",We have decided to buy a smaller car.,,,,,,,,,,,,
beschreiben,to describe,"beschreiben, beschreibt, beschrieb, hat beschrieben",Kannst du mir den Weg zum Flughafen beschreiben?,Can you describe the way to the airport?,,,,,,,,,,,,
sich beschweren,to complain,"sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert",Ich beschwerte mich beim Ober über ein Haar in meinem Essen.,I complained to the waiter about a hair in my food.,,,,,,,,,,,,
besetzen,to occupy,"besetzen, besetzt, besetzte, hat besetzt",Dieser Platz ist besetzt.,This seat is occupied.,Ich habe drei Plätze besetzt.,I have filled three seats.,Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.,I've called them three times now. It's always busy.,,,,,,,,
besichtigen,to visit,"besichtigen, besichtigt, besichtigte, hat besichtigt",Im Urlaub haben wir Schloss Schönbrunn besichtigt.,We visited Schönbrunn Palace during our vacation.,,,,,,,,,,,,
besitzen,to own,"besitzen, besitzt, besaß, hat besessen",Besitzt Ihre Frau ein eigenes Auto?,Does your wife have her own car?,,,,,,,,,,,,
besorgen,"to get sb. sth., provide","besorgen, besorgt, besorgte, hat besorgt",Soll ich die Eintrittskarten besorgen?,Should I get the tickets?,,,,,,,,,,,,
besprechen,to discuss,"besprechen, bespricht, besprach, hat besprochen","Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.",We still have to discuss exactly when we're leaving and what we're taking with us.,,,,,,,,,,,,
bestätigen,to confirm,"bestätigen, bestätigt, bestätigte, hat bestätigt",Die Firma hat mir den Termin schriftlich bestätigt.,The company confirmed the appointment in writing.,"Ich kann bestätigen, dass er hier war.",I can confirm that he was here.,,,,,,,,,,
bestehen,"to consist of, pass (an exam)","bestehen, besteht, bestand, hat bestanden",Das Modul Lesen besteht aus fünf Teilen.,The reading module consists of five parts.,Ich habe die Prüfung bestanden!,I passed the exam!,,,,,,,,,,
bestellen,"to order, tell sb. sth.","bestellen, bestellt, bestellte, hat bestellt",Wir haben Pizza bestellt.,We ordered pizza.,Ich bin für 16 Uhr zum Vorstellungsgespräch bestellt.,I am scheduled for an interview at 4 pm.,Ich soll Ihnen Grüße von Frau Meier bestellen.,Mrs. Meier sent her regards.,,,,,,,,
bestrafen,to punish,"bestrafen, bestraft, bestrafte, hat bestraft",Zu schnelles Fahren wird streng bestraft.,Speeding is severely punished.,,,,,,,,,,,,
besuchen,to visit,"besuchen, besucht, besuchte, hat besucht",Besuchen Sie uns doch mal.,Why not pay us a visit?,Sie müssen noch einen Kurs besuchen.,You still need to attend a course.,,,,,,,,,,
sich beteiligen,to participate,"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt",Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?,We want to buy our teacher a present. Who would like to participate?,,,,,,,,,,,,
betreuen,"to look after sb., supervise","betreuen, betreut, betreute, hat betreut",Wer betreut bei Ihnen die Kinder?,Who looks after your children?,,,,,,,,,,,,
betrügen,to cheat,"betrügen, betrügt, betrog, hat betrogen",Ich würde meine Familie niemals betrügen.,I would never cheat on my family.,Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.,The bill is not correct. The waiter cheated me.,,,,,,,,,,
(sich) bewegen,to move,"bewegen, bewegt, bewegte, hat bewegt (sich)",Ich kann mich vor Schmerzen kaum noch bewegen.,I can hardly move because of the pain.,Ich kann meinen Finger nicht mehr bewegen.,I can no longer move my finger.,Beide Zwillinge sprechen und bewegen sich auf ähnliche Art.,Both twins talk and move in a similar fashion.,,,,,,,,
beweisen,to prove,"beweisen, beweist, bewies, hat bewiesen","Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.",We can prove that you drove through a red light.,,,,,,,,,,,,
