type,word,german,english
other,an,"Am besten, du gehst zur Information und fragst da.",The best thing to do is to go to the information desk and ask there.
other,an,Das Licht war die ganze Nacht an.,The light was on all night.
other,noch,Mein Bruder geht noch zur Schule.,My brother still goes to school.
other,noch,"Bist du fertig. – Nein, noch nicht ganz.","Are you finished? - No, not quite yet."
other,noch,"Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier.","Do you have another wish? - Yes, another beer please."
other,noch,"Sonst noch etwas? – Nein, danke.","Anything else? - No, thank you."
other,noch,Ich komme später. Ich muss erst noch einkaufen.,I'll be late. I have to go shopping first.
other,noch,"Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin.",My girlfriend is studying and she works as a waitress in the evenings.
other,noch,Es ist nicht mehr viel Zeit. Nur noch fünf Minuten.,There's not much time left. Only five minutes left.
other,noch,Ich habe nur noch 20 Euro.,I only have 20 euros left.
other,noch,"Ist das Essen schon fertig. – Nein, es dauert noch ein paar Minuten.","Is the food ready yet? - No, it will take a few more minutes."
other,noch,Ist Amadeo schon da? – Vielleicht kommt er noch.,Is Amadeo here yet? - Maybe he's still coming.
other,nur,Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.,The department store sells T-shirts for just five euros.
other,nur,Ich habe keinen Hunger. Ich möchte nur etwas trinken.,I'm not hungry. I just want something to drink.
other,nur,Ich habe nur heute Abend Zeit.,I only have time tonight.
other,nur,Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.,Can you lend me some money? I'm sorry. I only have five euros with me.
other,da,Da drüben ist ein Getränkeautomat.,There's a drinks machine over there.
other,da,"Was Sie da sagen, ist richtig.",What you are saying is correct.
other,da,Ich wollte gerade einparken. Da kam ein Wagen rückwärts aus der Einfahrt.,I was just about to park. A car reversed out of the driveway.
other,da,Wir haben schon geschlossen. – Da kann man nichts machen.,We're already closed. - There's nothing you can do.
other,da,"Da Sie keinen Mitgliedsausweis haben, ist es etwas teurer.","As you do not have a membership card, it is a little more expensive."
other,da,Wir haben gerade über dich gesprochen. Da bist du ja.,We were just talking about you. There you are.
other,da,Welche Bluse nehmen Sie? – Die da.,Which blouse do you choose? - That one.
other,gut,Ich kenne ein gutes Lokal.,I know a good restaurant.
other,gut,Maria kann gut tanzen.,Maria can dance well.
other,gut,"Ich glaube, die Wurst ist nicht mehr gut.",I don't think the sausage is good anymore.
other,gut,Mir ist heute gar nicht gut.,I don't feel well at all today.
other,gut,Wir hatten im Urlaub gutes Wetter.,We had good weather on our vacation.
other,gut,Heute ist das Wetter wieder besser.,The weather is better again today.
other,gut,Ich komme um 13 Uhr. – Gut!,I'll be there at 1 pm. - Good!
other,gut,Guten Morgen!,Good morning!
other,gut,Ein gutes neues Jahr!,Happy New Year!
other,gut,Guten Appetit!,Enjoy your meal!
other,auch,Ich muss leider gehen. – Ich auch.,"Unfortunately, I have to go. - Me too."
other,auch,Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten.,I work all week and also have to work at the weekend.
other,auch,"Wir fahren auf jeden Fall, auch wenn es regnet.","We're definitely going, even if it rains."
other,auch,Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!,The train has just left. Why are you so late!
other,schon,Ist das Essen schon fertig?,Is the food ready yet?
other,schon,Mirko ist erst fünf. Aber er kann schon lesen.,Mirko is only five. But he can already read.
other,schon,Karl ist schon über 60. Aber er ist noch sehr fit.,"Karl is already over 60, but he's still very fit."
other,schon,"Mach schon, ich kann nicht länger warten.","Come on, I can't wait any longer."
other,schon,Keine Sorge. Es wird schon klappen.,Don't worry. It will work out.
other,schon,"Kommst du mit spazieren? – Ich hätte schon Lust, aber ich muss arbeiten.","Are you coming for a walk? - I'd like to, but I have to work."
other,schon,Ich mag keine Kartoffeln. Und du? – Ich schon.,I don't like potatoes. What about you? - I do.
other,als,"Als mein Mann kam, war die Party schon zu Ende.","When my husband arrived, the party was already over."
other,als,Sie können sich sowohl persönlich als auch im Internet anmelden.,You can register in person or online.
other,als,Meine Schwester ist älter als ich.,My sister is older than me.
other,als,"Es ist später, als ich dachte.",It's later than I thought.
verb,sein,Ich bin Mechaniker.,I am a mechanic.
verb,sein,Das Auto ist jetzt fünfzehn Jahre alt.,The car is now fifteen years old.
verb,sein,Der Termin beim Zahnarzt ist erst übermorgen.,The dentist's appointment is the day after tomorrow.
verb,sein,Um 11 Uhr ist Pause.,There is a break at 11 o'clock.
verb,sein,Herr Müller ist in seinem Zimmer.,Mr. Müller is in his room.
verb,sein,Das ist schwer zu verstehen.,That is difficult to understand.
verb,sein,Mir ist kalt.,I'm cold.
noun,Mal,Das machen wir nächstes Mal.,We'll do that next time.
noun,Mal,Das erste Mal war ich vor fünf Jahren in England.,The first time I was in England was five years ago.
noun,Mal,Bis zum nächsten Mal.,See you next time.
other,jetzt,Ich muss jetzt gehen.,I have to go now.
other,jetzt,Bis jetzt hat alles gut geklappt.,Everything has worked well so far.
other,jetzt,Ab jetzt werde ich wieder öfter ins Fitness-Studio gehen.,From now on I'll be going to the gym more often again.
other,jetzt,Ich habe jetzt schon dreimal bei meinem Bruder angerufen. Aber er ist nie da.,I've called my brother three times now. But he's never there.
other,jetzt,Über viele Dinge denke ich jetzt anders als früher.,I think differently about many things now than I used to.
other,mal,"Mal bin ich glücklich, mal traurig.","Sometimes I am happy, sometimes sad."
other,mal,Drei mal drei ergibt neun.,Three times three equals nine.
other,dann,"Ich muss noch schnell zur Post, dann komme ich.","I have to go to the post office quickly, then I'll be there."
other,dann,Wir waren pünktlich am Bahnhof. Aber dann hatte der Zug Verspätung.,We were at the station on time. But then the train was late.
other,dann,Ich habe im Moment sehr viel zu tun. – Dann will ich nicht länger stören.,I have a lot to do at the moment. - Then I won't bother you any longer.
other,dann,"Wenn es nicht regnet, dann kommen wir.","If it doesn't rain, we'll come."
other,wie viel(e),Wie viel Geld hast du dabei?,How much money do you have with you?
other,wie viel(e),Wie viel ist ein Euro hier wert?,How much is a euro worth here?
other,wie viel(e),Wie viele Kinder haben Sie?,How many children do you have?
other,aus,Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.,Mrs. Müller leaves the house every morning at 8 o'clock.
other,aus,Frau Özgen kommt aus der Türkei.,Ms. Özgen comes from Turkey.
other,aus,Die Möbel sind noch aus der Zeit um 1900.,The furniture dates from around 1900.
other,aus,Ich trage nur Pullover aus reiner Wolle.,I only wear sweaters made of pure wool.
other,aus,Wir haben aus Liebe geheiratet.,We got married for love.
other,aus,Wann ist der Kurs aus?,When is the course over?
other,aus,Ich seh‘ nichts! Das Licht ist aus!,I can't see anything! The light is off!
other,um,Wir treffen uns um 8 Uhr.,We meet at 8 o'clock.
other,um,Die Apotheke ist gleich um die Ecke.,The pharmacy is just around the corner.
other,um,Die Benzinpreise sind schon wieder um 3 % gestiegen.,Petrol prices have already risen by 3% again.
other,doch,"Isst du kein Fleisch? – Doch, manchmal schon.","Don't you eat meat? - Yes, sometimes I do."
other,doch,Ich habe es mir anders überlegt. Ich komme doch mit in die Stadt.,I've changed my mind. I'm coming into town after all.
other,doch,Ihr kommt doch heute Abend?,"You're coming tonight, right?"
other,doch,"Fragen Sie doch Herrn Müller, der ist Computerspezialist.","Just ask Mr. Müller, he is a computer specialist."
other,doch,"Ach, wenn doch schon Sonntag wäre!","Oh, if only it were already Sunday!"
other,oder,Möchten Sie Kaffee oder Tee?,Would you like coffee or tea?
other,oder,Entweder wir fahren mit dem Bus oder wir gehen zu Fuß.,Either we take the bus or we walk.
other,nach,Ich fahre morgen nach Hamburg.,I'm going to Hamburg tomorrow.
other,nach,Ich muss jetzt nach Hause.,I have to go home now.
other,nach,Wir treffen uns nach dem Essen.,We meet after dinner.
other,nach,Es ist schon nach acht. Wir müssen uns beeilen.,It's already after eight. We have to hurry.
noun,S-Bahn,Die S-Bahn ist schneller als die Straßenbahn.,The S-Bahn is faster than the streetcar.
other,nichts,Ich habe noch nichts gegessen.,I haven't eaten anything yet.
other,nichts,Ich weiß auch nichts Genaues.,I don't know anything for sure either.
other,nichts,Ich habe nichts zum Schreiben dabei.,I have nothing to write with.
other,nichts,Entschuldigung! – Das macht nichts.,Sorry! - That doesn't matter.
other,man,Wie schreibt man das?,How do you write that?
other,man,Hier darf man nicht parken.,You are not allowed to park here.
verb,werden,Es wird kalt.,It's getting cold.
verb,werden,Ich habe morgen Geburtstag. ? Wie alt wirst du denn?,It's my birthday tomorrow. - How old are you going to be?
verb,werden,Warum fährst du so schnell? Bist du verrückt geworden?!,Why are you driving so fast? Have you gone crazy?!
verb,werden,Mein Sohn möchte Polizist werden.,My son wants to be a policeman.
verb,werden,"Wohin fahren Sie in Urlaub? – Ich glaube, wir werden dieses Jahr zu Hause bleiben.",Where are you going on vacation? - I think we'll stay at home this year.
other,wo,Wo waren Sie im Urlaub?,Where were you on vacation?
other,wo,Wo wohnen Sie?,Where do you live?
other,wo,Wo ist denn meine Uhr?,Where is my watch?
other,etwas,Ich muss dir etwas erzählen.,I have to tell you something.
other,etwas,Ich habe nur Tee. Etwas anderes kann ich Ihnen leider nicht anbieten.,"I only have tea. Unfortunately, I can't offer you anything else."
other,etwas,Haben Sie etwas zum Schreiben?,Do you have something to write about?
other,etwas,Wollen wir mit dem Nachtisch noch etwas warten?,Shall we wait a little longer for dessert?
other,etwas,So etwas habe ich noch nie gehört.,I've never heard anything like it.
other,etwas,Ich habe etwas Gutes für dich gekocht.,I've cooked something good for you.
other,mehr,Ich habe diesmal mehr gelernt als bei der letzten Prüfung.,I learned more this time than in the last exam.
other,mehr,Mehr kann ich nicht essen!,That's all I can eat!
other,bei,Potsdam liegt bei Berlin.,Potsdam is located near Berlin.
other,bei,Ich wohne bei meinen Eltern.,I live with my parents.
other,bei,Bei uns ist das anders als bei euch. Wir essen kein Fleisch.,It's different for us than for you. We don't eat meat.
other,bei,Ich habe kein Geld bei mir.,I don't have any money with me.
other,bei,Wir wollen euch nicht beim Essen stören.,We don't want to disturb your meal.
other,also,"Also, die Sache ist so: …","So, here's the thing: ..."
other,also,Irina hat Urlaub. Sie kann uns also helfen.,Irina is on vacation. So she can help us.
other,also,"Also wirklich, jetzt reicht es.","Really, that's enough."
noun,Bitte,Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,I have a request. Can I use your cell phone?
other,bitte,"Eine Tasse Kaffee, bitte!","A cup of coffee, please!"
other,bitte,Bitte schön!,Here you go!
other,bitte,Wie bitte? Was haben Sie gesagt?,Excuse me? What did you say?
other,bitte,Sprechen Sie bitte langsam.,Please speak slowly.
other,immer,Frau Bast kommt immer zu spät.,Mrs. Bast is always late.
other,immer,Mein Kollege liegt immer noch im Krankenhaus.,My colleague is still in hospital.
other,immer,Die Schmerzen werden immer schlimmer.,The pain gets worse and worse.
other,warum,Warum besuchst du mich nicht?,Why don't you visit me?
other,warum,"Ich weiß nicht, warum es hier so kalt ist.",I don't know why it's so cold here.
other,vor,Ich bin vor einer Woche zurückgekommen.,I came back a week ago.
other,vor,Das Auto steht vor der Tür.,The car is at the door.
other,vor,Ich konnte vor Schmerzen nicht schlafen.,I couldn't sleep because of the pain.
other,los/los-,Los! Beeilt euch!,Come on! Hurry up!
other,los/los-,Gibt es ein Problem? Was ist denn los?,Is there a problem? What's going on?
other,los/los-,Achtung – fertig – los!,Ready - set - go!
verb,können,Ich kann den schweren Koffer nicht tragen.,I can't carry the heavy suitcase.
verb,können,Sie können mit dem Bus zum Bahnhof fahren.,You can take the bus to the station.
verb,können,Kann ich jetzt nach Hause gehen?,Can I go home now?
verb,können,Können Sie mir helfen?,Can you help me?
verb,können,Ich kann sehr gut Englisch und Deutsch.,I can speak English and German very well.
verb,können,"Es kann sein, dass es heute noch regnet.",It may still rain today.
other,wieder/wieder-,Wann kommst du wieder?,When will you be back?
other,wieder/wieder-,Meine Mutter war krank. Jetzt ist sie aber wieder gesund.,My mother was ill. But now she's healthy again.
other,wieder/wieder-,Mein Bruder kommt schon wieder zu spät.,My brother is late again.
other,wieder/wieder-,Meine Eltern sind zu Besuch gekommen. Morgen fahren sie wieder zurück.,My parents have come to visit. They're going back tomorrow.
verb,sagen,Entschuldigung! Was haben Sie gesagt?,Excuse me! What did you say?
verb,sagen,"Können Sie mir bitte sagen, wo hier ein Geldautomat ist?",Can you please tell me where there is an ATM here?
verb,sagen,Wie sagt man „sorry“ auf Deutsch?,How do you say "sorry" in German?
verb,sagen,"Sag mal, wie geht’s dir denn?","Tell me, how are you?"
verb,machen,Was machst du am Wochenende?,What are you doing at the weekend?
verb,machen,Ich habe die Betten noch nicht gemacht.,I haven't made the beds yet.
verb,machen,Soll ich dir die Suppe noch einmal warm machen?,Shall I heat up the soup for you again?
verb,machen,Meine Arbeit macht mir viel Spaß.,I really enjoy my work.
verb,machen,Mach dir bitte keine Sorgen.,Please don't worry.
verb,machen,Tut mir leid. Die Küche hat schon geschlossen. – Da kann man nichts machen.,I'm sorry. The kitchen is already closed. - There's nothing we can do.
verb,machen,Das macht zusammen 20 Euro.,That makes a total of 20 euros.
other,danke,"Soll ich Ihnen helfen? Nein, danke, nicht nötig.","Shall I help you? No, thanks, not necessary."
other,danke,Guten Appetit! – Danke gleichfalls.,Enjoy your meal! - Thank you as well.
other,sehr,Ich habe mich sehr über Ihren Besuch gefreut.,I was very pleased about your visit.
other,sehr,Hier ist Ihr Essen. - Danke sehr.,Here is your food. - Thank you very much.
other,sehr,Das Wetter ist heute sehr schön.,The weather is very nice today.
other,denn,"Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen.",I'm also learning Portuguese now because I want to travel to South America.
other,denn,Wie ist das Spiel denn ausgegangen?,How did the game end?
noun,Mann,In unserer Firma arbeiten fast nur Männer.,Almost only men work in our company.
noun,Mann,Mein Mann arbeitet bei der Post.,My husband works at the post office.
verb,tun,Ich habe heute viel zu tun.,I have a lot to do today.
verb,tun,Was kann ich für Sie tun?,What can I do for you?
verb,tun,Ich habe zu viel Zucker in den Kaffee getan.,I put too much sugar in my coffee.
verb,tun,Es tut mir leid. Ich kann nicht kommen.,I'm sorry. I can't come.
verb,tun,Der Arm tut mir weh.,My arm hurts.
verb,tun,Ich habe endlich mal ausgeschlafen. Das hat gut getan.,I finally got a good night's sleep. That did me good.
verb,gehen,Ich gehe jeden Morgen zu Fuß zur Arbeit.,I walk to work every morning.
verb,gehen,Der nächste Zug geht erst in zwei Stunden.,The next train doesn't leave for another two hours.
verb,gehen,Geht Ihre Uhr richtig?,Is your watch running correctly?
verb,gehen,"Geht das bis morgen? – Nein, das geht nicht. Ich brauche mehr Zeit.","Is that possible until tomorrow? - No, that's not possible. I need more time."
verb,gehen,Das Fenster geht auf die Straße.,The window opens onto the street.
verb,gehen,Wie geht es Ihnen heute?,How are you doing today?
verb,gehen,Um was geht es denn?,What is it all about?
verb,sehen,Ich sehe nicht gut. Ich brauche eine Brille.,I can't see well. I need glasses.
verb,sehen,Ich habe einen schönen Film gesehen.,I saw a beautiful movie.
verb,sehen,Darf ich mal Ihren Ausweis sehen?,May I see your ID?
verb,sehen,Sieh mal! Es schneit.,Look! It's snowing.
verb,sehen,"Ich komme gleich wieder, ich muss mal schnell nach dem Essen sehen.","I'll be right back, I have to check on the food."
verb,sehen,Was machst du im Urlaub? – Ich weiß noch nicht. Mal sehen.,What are you doing on vacation? - I don't know yet. Let's see.
verb,sehen,Du siehst deiner Mutter sehr ähnlich.,You look a lot like your mother.
other,vielleicht,Kommst du mit in die Stadt? - Ich weiß noch nicht. Vielleicht.,Are you coming into town? - I don't know yet. Maybe.
other,vielleicht,Vielleicht bekomme ich den Job.,Maybe I'll get the job.
other,vielleicht,Die Fahrkarte war vielleicht teuer!,The ticket may have been expensive!
other,vielleicht,Hast du vielleicht Kleingeld für mich?,Do you have any change for me?
other,wer,Wer ist das? Kennst du die Frau?,Who is that? Do you know the woman?
other,wer,Wer will die Prüfung machen?,Who wants to take the exam?
other,über,Die Müllers wohnen direkt über uns.,The Müllers live directly above us.
other,über,"Pass bitte auf, wenn du über die Straße gehst.",Please be careful when you cross the road.
other,über,Fahren Sie über Stuttgart oder über Würzburg?,Are you traveling via Stuttgart or via Würzburg?
other,über,Übers Wochenende fahren wir in die Berge.,We're going to the mountains for the weekend.
other,über,Kinder über zehn Jahre müssen voll bezahlen.,Children over the age of ten must pay in full.
other,über,Ich suche ein Buch über die deutsche Küche.,I am looking for a book about German cuisine.
noun,Wissen,Es hat ein großes Wissen über Pflanzen.,It has a wealth of knowledge about plants.
noun,Wissen,Ich tue nichts ohne dein Wissen.,I do nothing without your knowledge.
other,um … zu,"Um gesund zu bleiben, musst du Sport machen und Gemüse essen.","In order to stay healthy, you need to exercise and eat vegetables."
verb,wissen,"Weißt du, wie der Hausmeister heißt?",Do you know the janitor's name?
verb,wissen,"Ich habe nicht gewusst, dass Pascal verheiratet ist.",I didn't know that Pascal was married.
verb,wissen,Woher wissen Sie das?,How do you know that?
verb,müssen,Wie lange müssen Sie arbeiten?,How long do you have to work?
verb,müssen,Sie müssen die Miete pünktlich überweisen.,You must pay the rent on time.
verb,müssen,Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.,I have to work from 8 a.m. to 6 p.m. every day.
verb,müssen,Du musst mich nicht abholen. Nur wenn du willst.,You don't have to pick me up. Only if you want to.
other,nie,Der Chef ist nie da.,The boss is never there.
other,nie,Warum bist du nie zufrieden?,Why are you never satisfied?
other,nie,Bis morgen Abend schaffe ich die Arbeit nie.,I'll never get the work done by tomorrow evening.
other,nie,Ich gehe nie wieder in dieses Restaurant.,I will never go to this restaurant again.
other,wirklich,Du glaubst mir nicht? Es ist aber wirklich so.,You don't believe me? But it's really true.
other,wirklich,Im Bahnhofsrestaurant isst man wirklich sehr gut.,The station restaurant serves really good food.
other,kein-,Ich habe leider heute keine Zeit.,"Unfortunately, I don't have time today."
other,kein-,Jetzt habe ich noch keinen Hunger.,I'm not hungry yet.
other,kein-,Ich habe keine Kinder.,I don't have any children.
other,kein-,Was für ein Auto haben Sie? – Ich habe keins.,What kind of car do you have? - I don't have one.
other,viel/viele,Ich habe schon viel gelernt.,I have already learned a lot.
other,viel/viele,Ich wünsche Ihnen viel Spaß.,I wish you a lot of fun.
other,viel/viele,Hier regnet es viel.,It rains a lot here.
other,viel/viele,Das ist mir viel zu teuer.,That's far too expensive for me.
other,viel/viele,Im Winter sind viele Leute erkältet.,Many people get colds in winter.
noun,Weg,Dieser Weg ist sehr breit und angenehm.,This path is very wide and pleasant.
